referrer_path	missing_target	line	type	context
scripts/validate/validate-questionbank.mjs	node:fs/promises	1	import	import { readFile } from 'node:fs/promises'
scripts/validate/validate-questionbank.mjs	node:path	2	import	import path from 'node:path'
scripts/validateOutputV2.mjs	../src/core/content/resultTemplates/readingOutputV2.js	2	import	import buildOutputV2 from '../src/core/content/resultTemplates/readingOutputV2.js'
scripts/validateRound2.mjs	node:fs/promises	1	import	import { readFile } from 'node:fs/promises'
scripts/validateRound2.mjs	node:path	2	import	import path from 'node:path'
scripts/validateRound4.mjs	node:fs/promises	1	import	import { readFile } from 'node:fs/promises'
scripts/validateRound4.mjs	node:path	2	import	import path from 'node:path'
scripts/verify/verify-no-legacy-bundles.mjs	fs	2	import	import fs from 'fs'
scripts/verify/verify-no-legacy-bundles.mjs	path	3	import	import path from 'path'
scripts/verify/verify-no-legacy-strings.mjs	fs	1	import	import fs from 'fs'
scripts/verify/verify-no-legacy-strings.mjs	path	2	import	import path from 'path'
scripts/verify/verify-round2-ui-ontology-only.mjs	fs	1	import	import fs from 'fs'
scripts/verify/verify-round2-ui-ontology-only.mjs	path	2	import	import path from 'path'
scripts/verify/verify-round2-ui-ontology-only.mjs	url	3	import	import { fileURLToPath } from 'url'
scripts/verify-entry-no-legacy.mjs	fs	1	import	import fs from 'fs'
scripts/verify-entry-no-legacy.mjs	path	2	import	import path from 'path'
scripts/verify-no-legacy-imports.mjs	fs	1	import	import fs from 'fs'
scripts/verify-no-legacy-imports.mjs	path	2	import	import path from 'path'
scripts/verify-r3-gate.mjs	fs	1	import	import fs from 'fs'
scripts/verify-r3-gate.mjs	src/views/03_Resonance.vue	3	fs_read	const content = fs.readFileSync('src/views/03_Resonance.vue', 'utf8')
scripts/verify-round2-data-source.mjs	node:fs	1	import	import fs from 'node:fs'
scripts/verify-round2-data-source.mjs	node:path	2	import	import path from 'node:path'
scripts/verify-round2-schema.mjs	fs	1	import	import fs from 'fs'
scripts/verify-round4-coverage.mjs	fs	1	import	import fs from 'fs'
scripts/verify-ui-no-legacy-imports.mjs	fs	2	import	import fs from 'fs'
scripts/verify-ui-no-legacy-imports.mjs	path	3	import	import path from 'path'
scripts/verifyProxy.mjs	fs	7	import	import fs from 'fs'
scripts/verifyProxy.mjs	path	8	import	import path from 'path'
scripts/verifyProxy.mjs	url	9	import	import { fileURLToPath } from 'url'
